"nstorm","worry","nevac","prepared","homeloc","nyear","gender","income","politics","age","zone","lat","long"
2,3,0,3,2,86,1,4,3,86,"A",41.26324,-72.842965
1,4,0,3,3,25,1,NA,NA,52,"A",41.3106099999999,-72.0988239999999
3,4,0,3,3,19,2,6,2,83,"A",41.2652349999999,-72.8252329999999
3,6,1,1,1,52,1,5,3,64,"A",41.154187,-73.1134179999999
2,1,0,2,3,15,1,5,3,66,"A",41.2694419999999,-72.8922469999999
5,4,0,2,1,23,2,NA,3,76,"A",41.271396,-72.5909359999999
3,6,1,3,3,36,2,NA,3,37,"A",41.262037,-72.866106
5,4,0,3,3,50,2,NA,3,50,"A",41.151676,-73.2278529999999
1,3,0,3,3,4,1,3,1,38,"A",41.097606,-73.401936
2,6,0,2,2,17,2,6,2,50,"A",41.09104,-73.4129599999999
2,7,2,1,2,50,2,NA,3,77,"A",41.2784669999999,-72.409665
3,5,0,2,3,70,1,4,4,71,"A",41.250827,-72.869213
2,7,0,2,1,24,2,5,2,60,"A",41.252138,-72.875095
2,5,0,2,2,18,2,5,2,55,"A",41.263249,-72.843136
4,1,NA,2,1,17,2,6,2,78,"A",41.118521,-73.262427
1,3,1,3,2,2,1,6,4,51,"A",41.026718,-73.565226
2,3,1,2,1,64,2,5,3,64,"A",41.333562,-71.951395
4,6,0,3,3,40,NA,NA,NA,NA,"A",41.262987,-72.74764
0,4,0,2,1,35,1,5,3,73,"A",41.29592,-72.2587029999999
3,6,0,2,1,12,1,5,4,64,"A",41.216808,-73.021191
2,6,2,4,3,24,1,4,4,55,"A",41.2732639999999,-72.671783
6,7,2,3,1,50,2,2,3,71,"A",41.284367,-72.389576
3,2,0,3,3,14,1,4,3,72,"A",41.274535,-72.534316
3,1,1,1,3,90,2,1,4,90,"A",41.257162,-72.951362
3,4,0,1,2,75,1,NA,4,75,"A",41.272302,-72.8714899999999
1,1,0,2,3,46,1,3,3,48,"A",41.2586689999999,-72.951603
2,1,0,1,3,14,1,2,1,75,"A",41.247199,-72.877499
2,4,0,4,3,30,2,5,2,60,"A",41.305779,-72.124024
2,7,1,1,1,5,2,1,3,61,"A",41.1481039999999,-73.363262
2,5,0,3,3,22,1,6,3,67,"A",41.111747,-73.378189
2,1,0,1,1,30,2,2,1,59,"A",41.2487569999999,-72.874609
5,2,1,5,1,28,2,3,3,27,"A",41.449027,-72.09998
2,7,2,3,1,38,2,4,2,62,"A",41.262933,-72.892012
2,5,1,2,1,27,2,2,3,65,"A",41.258406,-72.891011
3,3,1,5,3,10,2,3,3,55,"A",41.180577,-73.1369899999999
4,5,1,2,1,32,2,NA,NA,67,"A",41.267229,-72.374857
2,4,0,2,3,13,2,6,4,45,"A",41.2738609999999,-72.574894
5,6,1,3,1,59,1,4,3,59,"A",41.1496089999999,-73.133679
2,6,0,4,3,50,1,1,4,79,"A",41.0590359999999,-73.546153
5,5,2,3,2,76,2,2,3,76,"A",41.2227269999999,-73.0454119999999
3,3,1,2,3,41,2,4,4,51,"A",41.15008,-73.126846
1,3,0,3,3,50,1,3,4,86,"A",41.233457,-72.995086
8,5,0,3,3,1,2,3,2,48,"A",41.103296,-73.41681
2,6,2,3,1,21,2,1,2,53,"A",41.098601,-73.373524
2,5,0,2,3,16,1,6,3,56,"A",41.3184779999999,-72.09099
3,7,2,3,3,13,2,6,2,67,"A",41.3118399999999,-72.8889
2,5,0,2,3,42,2,2,3,77,"A",41.2651389999999,-72.865395
2,4,0,3,3,25,2,4,4,48,"A",41.185923,-73.101104
2,4,0,3,1,16,1,NA,4,69,"A",41.251094,-72.8598429999999
2,4,2,3,1,22,2,5,3,59,"A",41.2236639999999,-73.0028839999999
2,3,0,3,3,7,1,6,3,33,"A",41.0354219999999,-73.5272949999999
2,5,0,2,3,7,2,6,4,43,"A",41.2649139999999,-72.75011
5,3,1,3,1,40,1,6,3,74,"A",41.130519,-73.2905999999999
2,6,2,3,1,7,2,4,3,43,"A",41.260821,-72.793901
2,7,0,2,1,5,2,6,3,60,"A",41.071783,-73.445812
1,4,0,4,3,6,2,2,3,76,"A",41.368984,-72.857692
2,7,0,3,2,65,2,2,1,65,"A",41.285265,-72.9514609999999
2,4,0,3,2,22,2,4,3,64,"A",41.210441,-73.023959
3,6,0,3,1,60,2,3,3,69,"A",41.1539319999999,-73.219998
1,2,0,3,2,14,1,1,4,72,"A",41.2504539999999,-72.871144
2,2,1,3,1,16,2,3,4,78,"A",41.0457669999999,-73.488512
2,4,0,3,3,30,1,5,3,50,"A",41.3515999999999,-72.172397
3,NA,2,2,1,14,2,2,3,59,"A",41.1705079999999,-73.1145829999999
2,4,2,3,3,40,1,3,2,65,"A",41.2604669999999,-72.8934239999999
7,6,0,2,3,60,2,2,4,97,"A",41.149838,-73.3613229999999
1,4,2,2,3,16,NA,NA,NA,NA,"A",41.27225,-72.5898619999999
2,1,0,1,2,54,2,1,4,79,"A",41.28056,-72.8066759999999
4,6,0,2,3,30,2,NA,4,48,"A",41.440515,-72.092036
2,3,0,2,2,70,1,4,3,68,"A",41.360477,-71.8403409999999
1,4,0,3,3,NA,2,3,3,83,"A",41.399639,-72.108895
4,6,3,3,1,30,2,3,3,64,"A",41.253822,-72.8999749999999
2,2,0,2,1,40,1,6,5,44,"A",41.301527,-72.226971
2,3,1,3,1,15,2,2,3,81,"A",41.263852,-72.517474
2,3,0,1,2,14,2,NA,3,63,"A",41.330049,-72.1734189999999
4,2,0,2,2,71,2,4,4,71,"A",41.144893,-73.2743009999999
3,3,0,2,1,30,2,3,3,54,"A",41.337723,-72.100161
2,5,0,3,1,26,1,6,2,60,"A",41.258609,-72.851723
1,6,1,4,1,12,2,2,3,56,"A",41.160262,-73.2259389999999
1,5,1,1,1,12,1,NA,2,66,"A",41.0710029999999,-73.449347
2,2,0,3,1,23,1,2,3,67,"A",41.223559,-72.997297
NA,3,0,1,3,12,1,4,4,71,"A",41.2114809999999,-73.021811
2,2,1,3,3,36,1,5,3,80,"A",41.271878,-72.4849179999999
1,5,1,2,3,4,2,6,4,51,"A",41.2566539999999,-72.863692
2,4,0,2,1,50,2,4,2,51,"A",41.259399,-72.8502399999999
2,3,0,2,2,47,2,3,3,69,"A",41.2852299999999,-72.397146
2,6,1,3,3,2,2,5,2,47,"A",41.26805,-72.646008
3,7,2,1,1,4,2,4,1,32,"A",41.2735539999999,-72.669932
6,6,0,3,1,20,1,2,3,58,"A",41.305352,-72.30356
4,5,0,2,3,8,1,4,4,45,"A",41.2145439999999,-73.0481599999999
5,7,2,2,1,40,2,1,3,52,"A",41.2630059999999,-72.796384
2,3,1,4,3,26,2,3,2,28,"A",41.37821,-71.8354989999999
2,6,0,3,2,52,1,3,3,65,"A",41.280135,-72.486045
3,5,0,3,1,50,1,4,3,50,"A",41.2761649999999,-72.799059
3,7,2,3,3,17,2,4,3,53,"A",41.2639169999999,-72.8938689999999
2,6,0,3,3,24,2,NA,2,56,"A",41.315955,-72.125951
2,4,0,2,3,27,2,4,3,45,"A",41.19621,-73.1176229999999
1,6,1,3,1,12,1,5,4,61,"A",41.269964,-72.4734799999999
1,2,0,4,3,7,1,5,2,55,"A",41.2671169999999,-72.386491
2,4,2,3,1,7,NA,6,1,66,"A",41.107601,-73.353359
2,1,0,1,1,12,2,2,NA,34,"A",41.246864,-72.8927699999999
4,5,1,2,1,20,2,NA,3,70,"A",41.197495,-73.0801069999999
2,3,0,3,1,5,1,5,2,38,"A",41.3216189999999,-72.2447729999999
4,4,0,2,1,62,1,4,2,62,"A",41.1488009999999,-73.238297
2,4,0,3,1,42,1,5,2,70,"A",41.1520569999999,-73.1237809999999
2,2,0,3,2,0,1,2,1,65,"A",41.390115,-72.8720019999999
3,2,0,2,3,36,1,5,2,63,"A",41.0175259999999,-73.6222609999999
2,2,0,4,1,64,2,3,5,83,"A",41.2630589999999,-72.517459
2,3,2,3,1,40,1,4,4,69,"A",41.1340069999999,-73.243041
2,7,2,4,3,12,1,6,2,106,"A",41.121659,-73.268697
2,5,0,3,3,10,1,4,2,49,"A",41.271041,-72.900686
3,6,2,2,2,49,2,NA,2,49,"A",41.258592,-72.9455209999999
2,4,0,1,1,45,1,5,5,44,"A",41.2035899999999,-73.0641499999999
2,5,2,1,1,40,2,NA,2,63,"A",41.253335,-72.808667
3,3,0,3,2,30,1,2,4,62,"A",41.1156659999999,-73.347204
1,4,1,3,1,53,1,5,3,76,"A",41.343094,-71.976973
2,1,0,1,2,17,1,3,3,65,"A",41.2641479999999,-72.867615
3,3,0,4,1,8,2,3,3,53,"A",41.375846,-71.833812
2,4,2,2,1,10,1,5,4,70,"A",41.270648,-72.384652
2,3,0,1,2,26,2,3,3,67,"A",41.213317,-73.0107919999999
2,3,0,2,1,10,2,5,2,56,"A",41.1401639999999,-73.2639829999999
3,5,1,3,1,14,2,NA,3,53,"A",41.3241289999999,-72.189036
3,2,0,1,1,34,1,3,3,61,"A",41.1539319999999,-73.219998
3,5,3,2,1,5,2,6,4,41,"A",41.142709,-73.2444289999999
2,4,0,3,1,25,2,2,3,59,"A",41.221583,-73.042809
2,7,0,3,1,61,2,4,4,62,"A",41.2696979999999,-72.5335259999999
2,4,0,3,3,20,1,5,4,78,"A",41.3117639999999,-72.2063789999999
2,2,0,3,1,3,2,2,1,26,"A",41.158822,-73.221861
2,2,0,1,3,20,1,NA,NA,73,"A",40.9960409999999,-73.658764
2,5,0,3,3,65,2,5,3,65,"A",41.262098,-72.8210629999999
5,5,0,2,2,19,2,5,1,53,"A",41.1232779999999,-73.3659779999999
2,7,1,4,3,10,2,4,2,49,"A",41.154603,-73.2264169999999
2,3,0,3,3,80,NA,NA,NA,NA,"A",41.340999,-72.137415
2,6,2,3,1,NA,1,NA,3,76,"A",41.355843,-71.841665
2,5,0,2,2,44,1,6,2,44,"A",41.155749,-73.2229169999999
4,5,0,2,3,15,2,6,4,50,"A",41.101114,-73.38455
2,5,2,2,1,16,2,4,NA,86,"A",41.335991,-71.9322049999999
0,4,0,2,3,50,1,NA,NA,73,"A",41.2834739999999,-72.433886
1,5,0,4,3,2,2,2,4,36,"A",41.0449559999999,-73.519552
2,5,2,3,1,3,2,5,2,49,"A",41.14488,-73.245379
1,4,0,2,3,25,2,5,3,67,"A",41.272155,-72.579981
5,3,0,4,2,50,2,3,3,71,"A",41.308511,-72.215012
2,6,0,3,2,40,2,5,3,40,"A",41.213242,-73.034767
3,1,3,2,3,50,2,1,1,83,"A",41.17168,-73.169307
NA,1,0,1,2,75,2,1,5,82,"A",41.130732,-73.268152
5,4,0,3,3,50,2,3,3,64,"A",41.236923,-72.990088
3,3,0,4,3,59,2,4,1,86,"A",41.080032,-73.4180379999999
2,4,2,3,1,15,2,3,3,80,"A",41.28033,-72.391968
2,3,2,3,1,40,1,3,2,83,"A",41.348761,-71.9097919999999
2,2,0,2,3,40,2,5,NA,66,"A",41.247752,-72.890186
2,5,0,3,3,70,1,NA,NA,71,"A",41.238557,-72.9915299999999
4,7,0,2,1,59,2,6,1,59,"A",41.315319,-72.8878299999999
6,5,3,2,1,24,2,2,4,83,"A",41.2819399999999,-72.417032
3,7,0,2,3,44,2,4,5,75,"A",41.3084169999999,-72.2101409999999
2,6,2,4,3,14,2,5,3,48,"A",41.0477429999999,-73.4805989999999
3,4,0,3,2,20,1,2,3,71,"A",41.2691329999999,-72.940931
3,3,0,3,2,86,NA,NA,NA,NA,"A",41.259061,-72.870025
1,2,0,4,3,14,2,2,1,29,"A",41.277139,-72.805954
2,5,0,1,2,25,2,NA,NA,61,"A",41.271885,-72.576515
0,4,0,3,1,2,2,4,2,57,"A",41.2860429999999,-72.4212519999999
2,5,1,4,3,26,2,3,2,51,"A",41.2295319999999,-72.9968559999999
2,5,1,2,1,8,2,3,2,56,"A",41.2787239999999,-72.8071199999999
2,3,0,2,1,44,1,5,3,69,"A",41.281038,-72.385782
1,1,1,3,3,12,2,4,1,76,"A",41.270121,-72.5308459999999
2,2,0,3,3,30,1,3,2,56,"A",41.3243739999999,-72.9593679999999
3,5,1,2,1,8,2,2,2,49,"A",41.2799109999999,-72.4207069999999
2,6,2,3,3,45,2,4,2,85,"A",41.2620829999999,-72.8211459999999
3,6,0,2,1,20,2,3,3,57,"A",41.155054,-73.120733
4,4,0,3,1,5,1,4,4,69,"A",41.210841,-73.030444
2,6,0,2,3,12,2,3,2,52,"A",41.2846869999999,-72.526689
2,3,0,2,3,46,1,4,1,82,"A",41.2154019999999,-73.051077
3,7,2,2,2,22,2,6,3,60,"A",41.1453599999999,-73.226116
0,5,2,1,1,12,2,6,3,60,"A",41.277053,-72.4209749999999
1,5,1,3,3,10,2,6,2,74,"A",41.020304,-73.52867
1,5,0,1,3,70,1,3,3,71,"A",41.30451,-72.131038
3,2,1,2,3,18,2,6,2,51,"A",41.067492,-73.430098
12,7,0,2,3,36,1,4,3,63,"A",41.262644,-72.9438779999999
4,3,1,2,1,16,2,2,1,57,"A",41.3540739999999,-71.961584
4,4,0,2,3,NA,2,4,3,65,"A",41.354557,-71.96738
2,3,0,3,3,25,1,3,3,72,"A",41.3939659999999,-72.380555
4,2,0,3,3,35,2,4,2,62,"A",41.343831,-71.896028
2,7,2,2,3,55,2,2,3,61,"A",41.3104909999999,-72.1027169999999
3,2,0,2,3,41,2,5,3,74,"A",41.34868,-71.843438
5,7,0,2,2,36,2,5,1,76,"A",41.02375,-73.527023
2,7,0,2,3,5,1,5,3,53,"A",41.279183,-72.8093609999999
3,2,0,3,1,29,1,2,4,54,"A",41.2706889999999,-72.8113859999999
1,6,0,2,3,3,2,2,4,40,"A",41.220686,-73.1040639999999
1,4,0,3,2,38,2,5,5,52,"A",41.2937489999999,-72.3948319999999
2,7,1,3,2,50,2,4,3,63,"A",41.2815289999999,-72.8115269999999
4,5,1,4,1,37,2,5,2,37,"A",41.1361589999999,-73.2605099999999
9,4,0,1,2,40,2,2,3,72,"A",41.2789059999999,-72.802075
2,7,0,2,2,50,1,3,3,78,"A",41.210923,-73.0140839999999
5,2,0,1,2,42,1,6,4,63,"A",41.351925,-72.1765079999999
2,2,0,3,2,44,1,4,3,69,"A",41.269908,-72.8282779999999
1,4,0,3,1,53,1,NA,NA,54,"A",41.3036129999999,-72.893082
0,7,0,1,3,86,2,6,4,87,"A",41.264076,-72.7735919999999
1,5,1,4,3,35,1,3,4,96,"A",41.1736319999999,-73.167483
4,5,0,3,2,15,1,5,3,75,"A",41.2668779999999,-72.8194989999999
2,6,1,3,1,12,2,4,2,46,"A",41.260821,-72.793901
4,3,0,4,3,61,2,2,3,61,"A",41.315123,-72.873125
3,4,3,1,2,30,1,NA,NA,55,"A",41.260936,-72.839275
1,5,0,3,3,45,1,4,2,68,"A",41.310649,-72.215704
2,5,1,3,1,3,1,3,3,35,"A",41.172398,-73.168259
1,6,0,4,3,57,2,2,4,81,"A",41.2814959999999,-72.944108
1,4,0,2,2,12,1,3,3,51,"A",41.283357,-72.810141
2,2,1,3,3,70,1,4,NA,78,"A",41.1225439999999,-73.3157729999999
2,4,1,3,1,3,1,4,3,66,"A",41.258106,-72.833014
2,1,0,2,1,30,1,3,2,62,"A",41.274642,-72.3844859999999
2,5,0,3,2,12,2,2,1,66,"A",41.3135359999999,-72.209564
2,5,0,3,2,40,2,5,3,56,"A",41.2716909999999,-72.872405
2,4,NA,3,NA,35,NA,6,3,NA,"A",41.2628029999999,-72.7905109999999
3,3,0,1,3,30,2,4,2,66,"A",41.1899009999999,-73.1263409999999
2,4,1,2,1,10,2,4,2,61,"A",41.261208,-72.7976859999999
3,5,1,3,1,60,1,3,4,68,"A",41.275841,-72.425037
6,4,3,3,1,28,2,3,3,53,"A",41.131134,-73.243071
3,4,0,1,1,42,2,NA,2,89,"A",41.0414409999999,-73.508858
2,4,0,2,1,41,2,2,4,69,"A",41.2235859999999,-72.999705
4,5,1,3,3,23,1,6,3,60,"A",41.0834139999999,-73.4132579999999
3,3,0,2,3,43,1,6,2,48,"A",41.031328,-73.600598
2,5,1,2,1,14,1,5,1,52,"A",41.353002,-71.847255
3,4,2,3,1,76,1,4,4,76,"A",41.155521,-73.2333789999999
3,1,0,3,NA,35,1,5,3,68,"A",41.1948179999999,-73.0817799999999
2,4,1,3,1,4,2,3,1,58,"A",41.223957,-73.00302
3,4,0,3,2,34,1,5,3,63,"A",41.249046,-72.8698069999999
3,6,0,2,3,37,1,5,NA,71,"A",41.3725499999999,-71.835661
1,5,0,2,2,2,2,4,3,34,"A",41.2190599999999,-73.056916
2,2,0,2,3,43,1,5,3,68,"A",41.0625369999999,-73.4361559999999
3,3,0,4,3,35,1,2,3,79,"A",41.3153859999999,-72.873005
2,5,1,3,3,15,2,NA,3,46,"A",41.062266,-73.444456
3,2,0,4,3,29,2,5,4,74,"A",41.234347,-72.975295
2,5,0,3,3,36,2,6,3,69,"A",41.24949,-72.708561
3,4,0,3,2,77,2,2,3,77,"A",41.2782029999999,-72.8653599999999
4,5,0,2,3,29,2,5,3,50,"A",41.204852,-73.0397349999999
2,7,0,2,2,13,2,4,3,62,"A",41.2801979999999,-72.7996349999999
1,4,0,4,1,30,1,NA,NA,NA,"A",41.1535519999999,-73.22337
2,5,0,4,3,15,1,5,3,42,"A",41.208053,-73.060129
2,3,0,2,2,13,2,4,2,63,"A",41.152112,-73.132001
4,3,2,3,1,10,1,4,1,88,"A",41.082584,-73.413664
2,3,NA,3,3,45,2,3,4,74,"A",41.150091,-73.228969
0,4,0,3,3,1,2,3,3,81,"A",41.341878,-71.899015
3,5,0,2,3,9,2,5,3,39,"A",41.15252,-73.227288
4,1,0,2,1,9,1,3,2,35,"A",41.156281,-73.230734
2,5,0,2,2,60,1,4,2,61,"A",41.202233,-73.0799379999999
5,3,1,2,1,43,1,6,3,74,"A",41.110438,-73.352845
2,4,0,3,3,26,1,4,2,26,"A",41.154325,-73.226748
4,2,0,2,3,45,1,6,5,42,"A",41.029431,-73.604212
3,4,0,2,1,30,2,5,2,74,"A",41.0306909999999,-73.571228
3,3,1,2,3,45,1,6,4,64,"A",41.0565959999999,-73.4572799999999
NA,3,0,3,3,48,2,3,2,81,"A",41.1529349999999,-73.119259
5,4,1,3,3,70,1,4,1,70,"A",41.25974,-72.9408679999999
2,3,0,1,2,27,1,3,4,78,"A",41.209561,-73.061107
1,4,0,2,1,27,2,3,3,63,"A",41.306922,-72.23712
2,5,1,4,3,6,2,3,5,29,"A",41.3402299999999,-72.0553759999999
2,5,2,2,3,50,2,4,2,55,"A",41.259137,-72.9435859999999
3,7,2,1,1,40,2,4,3,66,"A",41.2723689999999,-72.592718
2,7,0,1,2,40,2,4,4,60,"A",41.2731509999999,-72.590674
2,6,0,3,1,34,1,6,2,72,"A",41.093964,-73.403734
2,3,0,4,1,46,1,6,4,80,"A",41.115106,-73.374965
5,5,1,3,3,19,1,2,3,60,"A",41.176581,-73.137789
NA,7,2,3,1,42,2,2,3,81,"A",41.089024,-73.415317
3,3,0,4,3,20,2,3,3,47,"A",41.173214,-73.139317
2,4,0,3,3,20,NA,NA,NA,NA,"A",41.015439,-73.622555
1,2,0,3,3,3,1,4,4,41,"A",41.3574699999999,-72.083984
2,2,2,3,1,19,1,1,3,84,"A",41.236699,-72.986528
2,4,1,4,1,4,1,6,3,93,"A",41.132642,-73.252414
2,6,0,2,3,54,1,3,5,80,"A",41.3557199999999,-72.08395
2,7,1,2,1,25,2,5,3,68,"A",41.0312509999999,-73.531086
1,2,0,2,2,12,1,6,4,50,"A",41.126631,-73.339763
3,4,0,3,3,35,1,4,3,48,"A",41.1929329999999,-73.1045639999999
2,2,0,2,3,11,1,NA,3,38,"A",41.138923,-73.265043
3,3,0,3,3,10,1,NA,4,62,"A",41.299723,-72.2136059999999
4,3,0,1,2,64,NA,NA,NA,NA,"A",41.157304,-73.125234
3,3,0,3,2,17,2,3,4,57,"A",41.321517,-72.361714
3,4,0,3,3,72,1,NA,3,86,"A",41.313536,-72.209564
3,3,0,4,2,10,2,NA,3,73,"A",41.2098379999999,-73.0594899999999
2,5,2,2,1,31,1,5,3,50,"A",41.3462389999999,-71.899837
1,5,1,3,3,24,2,5,3,64,"A",41.0277779999999,-73.5605589999999
3,4,1,3,3,29,2,5,3,29,"A",41.266838,-72.843805
2,4,0,3,3,3,2,6,3,32,"A",41.1225439999999,-73.3157729999999
2,5,1,3,1,6,2,NA,NA,NA,"A",41.254449,-72.862272
2,3,2,2,3,24,2,5,3,39,"A",41.19127,-73.0855179999999
2,5,0,4,3,36,2,1,3,65,"A",41.340719,-72.049084
11,5,0,2,2,50,2,5,4,50,"A",41.277684,-72.554394
2,3,1,2,3,60,1,2,3,60,"A",41.3153379999999,-72.8730269999999
2,5,0,3,3,45,1,4,4,57,"A",41.091105,-73.415442
2,4,0,3,1,6,2,6,4,43,"A",41.1092149999999,-73.3546269999999
NA,4,0,3,3,40,2,2,3,91,"A",41.097709,-73.400196
2,5,2,3,3,20,1,5,2,53,"A",41.256872,-72.697804
1,5,0,3,1,47,1,3,3,75,"A",41.1564929999999,-73.1178129999999
2,4,0,2,3,18,2,5,1,42,"A",41.2690959999999,-72.807905
3,1,0,2,1,13,2,5,3,51,"A",41.276499,-72.521072
2,4,0,3,3,17,1,4,2,66,"A",41.3595329999999,-71.958364
2,6,2,2,1,25,1,5,3,68,"A",41.0273329999999,-73.5711
5,4,0,2,3,37,1,4,4,64,"A",41.2362159999999,-72.982397
NA,2,0,3,2,42,2,NA,NA,73,"A",41.2620689999999,-72.848166
2,1,0,1,3,59,1,2,3,59,"A",41.315376,-72.107382
2,6,1,2,1,7,2,6,2,53,"A",41.1214719999999,-73.270115
3,3,0,2,2,20,2,5,1,71,"A",41.0883779999999,-73.4000489999999
2,5,0,2,1,46,1,5,2,54,"A",41.309894,-72.14394
2,3,1,3,3,20,1,3,3,57,"A",41.275039,-72.937157
2,7,0,2,3,20,2,4,4,53,"A",41.2350989999999,-72.98733
3,6,1,5,3,3,2,5,3,47,"A",41.15677,-73.2275829999999
2,4,2,3,3,18,2,5,3,54,"A",41.310129,-72.1434009999999
NA,5,4,3,1,45,2,6,4,71,"A",41.0675219999999,-73.4329589999999
2,5,0,3,3,25,1,6,2,51,"A",41.269148,-72.811605
NA,3,1,4,3,25,2,3,2,30,"A",41.153522,-73.227939
2,5,0,1,1,13,1,4,4,75,"A",41.2647989999999,-72.3881829999999
2,5,0,1,3,15,1,5,4,59,"A",41.350461,-71.943808
10,5,0,3,2,77,1,4,3,77,"A",41.314136,-72.324165
2,5,0,3,3,4,2,1,2,34,"A",41.2985109999999,-72.9264009999999
2,5,0,3,3,22,1,5,4,66,"A",41.043322,-73.4787649999999
3,2,0,2,1,35,NA,NA,NA,NA,"A",41.2666899999999,-72.3788839999999
3,3,0,3,2,36,1,3,3,82,"A",41.2693769999999,-72.8133909999999
0,6,0,4,3,39,1,4,2,82,"A",41.2798,-72.794369
2,5,0,3,2,18,1,2,4,71,"A",41.210138,-73.0588209999999
NA,4,0,2,3,68,1,4,3,68,"A",41.2564149999999,-72.6792889999999
2,5,2,2,3,70,1,6,5,32,"A",41.258035,-72.808126
2,4,1,2,1,29,2,4,3,40,"A",41.211395,-73.060672
3,4,1,3,1,7,2,5,4,35,"A",41.284328,-72.641281
3,1,0,1,2,30,2,2,3,75,"A",41.310091,-72.142037
2,7,1,3,3,3,2,2,3,69,"A",41.2662809999999,-72.936068
2,5,0,2,1,6,2,3,4,33,"A",41.155521,-73.2333789999999
0,5,0,NA,1,60,2,5,3,81,"A",41.245303,-72.887707
2,7,0,3,3,10,2,3,5,54,"A",41.306207,-72.207246
2,4,0,2,3,11,2,5,2,66,"A",41.2785659999999,-72.550081
3,7,0,2,1,34,1,5,2,62,"A",41.251336,-72.8693949999999
2,6,1,2,1,37,2,3,3,72,"A",41.2654679999999,-72.3821159999999
2,2,0,3,3,19,1,5,2,47,"A",41.365319,-71.9591199999999
3,3,1,3,3,38,2,3,3,38,"A",41.1843829999999,-73.137083
2,6,2,3,3,4,1,5,4,58,"A",41.271875,-72.47938
2,4,0,1,2,64,1,4,2,64,"A",41.356297,-71.845625
